time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,黔西南州,86.66,2.05,40.79,12.0,113.24,52.81,19.5
2017-01-02,黔西南州,77.2,1.91,31.57,20.73,102.75,38.85,21.85
2017-01-03,黔西南州,65.12,1.48,20.31,11.54,78.94,26.96,11.85
2017-01-04,黔西南州,27.17,1.29,23.81,16.85,27.46,10.5,5.29
2017-01-05,黔西南州,42.97,1.59,30.44,17.23,48.44,18.82,6.77
2017-01-06,黔西南州,40.08,1.44,24.65,21.04,41.5,13.31,6.04
2017-01-07,黔西南州,39.3,1.56,27.11,19.37,43.0,13.65,6.17
2017-01-08,黔西南州,52.48,1.71,34.81,23.02,63.83,22.98,7.9
2017-01-09,黔西南州,43.02,1.48,23.28,35.63,48.39,12.83,5.52
2017-01-10,黔西南州,49.12,1.64,20.98,45.21,56.17,14.29,6.54
2017-01-11,黔西南州,33.06,1.94,22.67,27.67,33.3,12.9,5.88
2017-01-12,黔西南州,29.67,2.0,21.79,24.48,29.49,10.98,7.65
2017-01-13,黔西南州,48.5,1.8,20.23,37.35,52.91,23.81,9.69
2017-01-14,黔西南州,33.08,1.86,15.23,37.19,32.08,16.67,4.75
2017-01-15,黔西南州,21.02,1.97,20.17,21.85,18.5,11.38,5.23
2017-01-16,黔西南州,21.29,1.95,14.27,23.44,19.52,10.92,3.88
