time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,哈密地区,97.32,1.47,46.08,20.87,103.87,69.24,15.18
2017-01-02,哈密地区,61.45,0.68,34.45,38.95,61.88,35.48,8.68
2017-01-03,哈密地区,53.44,0.74,29.4,39.04,51.52,30.96,4.65
2017-01-04,哈密地区,79.19,1.13,39.12,20.83,88.08,47.08,7.42
2017-01-05,哈密地区,107.81,2.36,57.75,14.19,131.07,74.06,14.33
2017-01-06,哈密地区,96.15,2.31,54.62,19.42,107.74,66.75,19.04
2017-01-07,哈密地区,73.26,1.78,50.0,35.74,77.44,45.91,16.74
2017-01-08,哈密地区,87.31,2.35,64.17,25.56,102.64,53.23,11.54
2017-01-09,哈密地区,80.67,1.73,54.11,32.39,95.33,45.33,29.13
2017-01-10,哈密地区,72.29,1.57,49.04,34.83,80.7,39.15,34.38
2017-01-11,哈密地区,69.65,1.55,48.83,28.4,77.3,43.35,22.92
2017-01-12,哈密地区,59.62,1.5,49.23,29.31,67.26,32.81,13.96
2017-01-13,哈密地区,56.17,1.41,42.81,32.5,60.59,29.0,28.27
2017-01-14,哈密地区,51.38,1.23,40.46,37.42,53.08,25.35,21.08
2017-01-15,哈密地区,60.79,1.21,46.67,29.73,66.0,32.88,19.06
2017-01-16,哈密地区,81.33,1.86,54.46,28.9,88.6,47.92,10.12
